bookid	responseid	num_sentences	Emotional_impact	Narrative_feeling	Reflection	Aesthetic_feeling	All
41143	398095	4	2	0	0	2	4
41143	398100	4	0	2	0	0	2
41143	398102	4	1	0	0	0	1
41143	398104	4	1	1	1	0	3
41143	398111	4	0	1	0	1	2
41143	398113	4	1	1	0	1	3
41143	398116	4	2	0	0	0	2
41143	398129	4	2	3	0	0	5
41143	398140	4	0	4	0	0	4
41143	398144	4	1	1	0	0	2
41143	398150	4	1	0	0	2	3
41143	398156	4	0	1	0	1	2
41143	398157	4	0	0	0	0	0
41143	398160	4	2	2	0	0	4
41143	398166	4	1	1	0	1	3
41143	398167	4	0	0	0	1	1
41143	398168	4	1	2	0	0	3
41143	398171	4	1	0	0	0	1
41143	398178	4	1	1	0	1	3
41143	398181	4	1	1	0	0	2
41143	398190	4	0	2	0	0	2
41143	398195	4	1	1	0	1	3
41143	398199	4	1	0	0	4	5
41143	398209	4	1	1	0	0	2
41143	398214	4	1	0	0	0	1
41143	398224	4	1	0	0	1	2
41143	398231	4	2	0	0	0	2
41143	398238	4	2	1	0	2	5
41143	398242	4	1	0	0	2	3
41143	398249	4	1	0	0	1	2
41143	398266	4	2	1	0	0	3
41143	398281	4	1	0	0	1	2
41143	398282	4	0	0	0	2	2
41143	398283	4	3	1	0	0	4
41143	398284	4	1	1	0	1	3
41143	398309	4	2	0	0	0	2
41143	398315	4	1	1	0	0	2
41143	398318	4	3	1	0	0	4
41143	398321	4	1	1	0	0	2
41143	398322	4	0	1	0	1	2
41143	398324	4	0	1	2	0	3
41143	398329	4	0	1	0	0	1
41143	398330	4	1	2	0	0	3
41143	398331	4	0	0	0	1	1
41143	398334	4	1	0	0	1	2
41143	398335	4	1	2	0	0	3
41143	398339	4	0	1	0	0	1
41143	398340	4	2	3	0	0	5
41143	398355	4	1	2	0	1	4
41143	398357	4	1	4	0	0	5
41143	185735	3	0	0	0	0	0
41143	196046	3	0	1	0	2	3
41143	199154	3	2	1	0	0	3
41143	200114	3	0	1	0	1	2
41143	202052	3	0	0	1	0	1
41143	203145	3	1	0	0	0	1
41143	203784	3	0	2	0	0	2
41143	204336	3	0	1	0	1	2
41143	205928	3	2	1	0	0	3
41143	207452	3	0	1	0	0	1
41143	207472	3	0	1	0	0	1
41143	207665	3	0	2	0	0	2
41143	207729	3	0	0	0	0	0
41143	209599	3	0	2	0	0	2
41143	209606	3	0	0	0	0	0
41143	210310	3	0	2	0	1	3
41143	210368	3	1	0	0	2	3
41143	210749	3	0	1	0	1	2
41143	210773	3	1	2	0	0	3
41143	211700	3	0	1	0	0	1
41143	212351	3	0	1	0	0	1
41143	213389	3	1	4	0	1	6
41143	214091	3	0	0	1	1	2
41143	215375	3	1	1	0	0	2
41143	216378	3	1	2	0	0	3
41143	216688	3	2	0	0	0	2
41143	216926	3	1	1	0	0	2
41143	217685	3	0	0	0	0	0
41143	218696	3	0	0	0	0	0
41143	219844	3	1	2	0	1	4
41143	221884	3	0	2	0	0	2
41143	279825	3	2	1	0	0	3
41143	279830	3	0	0	0	0	0
41143	279832	3	2	2	1	0	5
41143	279833	3	1	1	0	1	3
41143	279842	3	1	1	0	0	2
41143	397214	3	1	1	2	0	4
41143	397218	3	1	1	0	1	3
41143	397233	3	1	0	0	3	4
41143	397234	3	3	0	0	0	3
41143	397246	3	1	1	1	1	4
41143	397257	3	2	1	0	0	3
41143	397259	3	0	0	0	0	0
41143	397261	3	0	2	0	0	2
41143	397262	3	5	0	0	3	8
41143	397264	3	2	0	0	0	2
41143	397273	3	0	2	0	1	3
41143	397278	3	0	0	0	0	0
41143	397279	3	0	3	0	1	4
41143	397280	3	2	1	1	0	4
41143	397296	3	0	0	0	0	0
